"date","value_brl","var_day_pct","var_month_pct","value_usd","region","indicator","indicator_name","unit","source","extracted_at","_loaded_at"
"2025-11-14 00:00:00",3.2097,0.01,,0.6064,,etanol,Etanol - Tabela 2,R$/litro,CEPEA/ESALQ,"2025-12-31 17:15:54",2026-01-01 21:22:46.940
"2025-11-14 00:00:00",2.8404,0.51,,0.5366,,etanol,Etanol - Tabela 3,R$/litro,CEPEA/ESALQ,"2025-12-31 17:15:54",2026-01-01 21:22:46.940
"2025-11-21 00:00:00",2.8554,1.13,,0.5342,,etanol,Etanol - Tabela 1,R$/litro,CEPEA/ESALQ,"2025-12-31 17:15:54",2026-01-01 21:22:46.940
"2025-11-21 00:00:00",3.2434,1.05,,0.6068,,etanol,Etanol - Tabela 2,R$/litro,CEPEA/ESALQ,"2025-12-31 17:15:54",2026-01-01 21:22:46.940
"2025-11-28 00:00:00",2.8653,0.35,,0.5347,,etanol,Etanol - Tabela 1,R$/litro,CEPEA/ESALQ,"2025-12-31 17:15:54",2026-01-01 21:22:46.940
"2025-11-28 00:00:00",3.3004,1.76,,0.6159,,etanol,Etanol - Tabela 2,R$/litro,CEPEA/ESALQ,"2025-12-31 17:15:54",2026-01-01 21:22:46.940
"2025-11-28 00:00:00",2.8016,-1.37,,0.5228,,etanol,Etanol - Tabela 3,R$/litro,CEPEA/ESALQ,"2025-12-31 17:15:54",2026-01-01 21:22:46.940
"2025-12-05 00:00:00",2.8853,0.7,,0.5389,,etanol,Etanol - Tabela 1,R$/litro,CEPEA/ESALQ,"2025-12-31 17:15:54",2026-01-01 21:22:46.940
"2025-12-05 00:00:00",3.3128,0.38,,0.6188,,etanol,Etanol - Tabela 2,R$/litro,CEPEA/ESALQ,"2025-12-31 17:15:54",2026-01-01 21:22:46.940
"2025-12-05 00:00:00",2.8837,2.93,,0.5387,,etanol,Etanol - Tabela 3,R$/litro,CEPEA/ESALQ,"2025-12-31 17:15:54",2026-01-01 21:22:46.940
"2025-12-08 00:00:00",107.39,0.0,-1.02,19.68,,acucar,Açúcar - Tabela 1,R$/saca 50kg,CEPEA/ESALQ,"2025-12-31 17:15:44",2026-01-01 21:22:46.940
"2025-12-08 00:00:00",114.15,1.24,-1.07,21.04,,acucar,Açúcar - Tabela 2,R$/saca 50kg,CEPEA/ESALQ,"2025-12-31 17:15:44",2026-01-01 21:22:46.940
"2025-12-08 00:00:00",346.76,0.77,-0.3,10.05,,algodao,Algodão - Tabela 1,c/lb,CEPEA/ESALQ,"2025-12-31 17:15:48",2026-01-01 21:22:46.940
"2025-12-08 00:00:00",52.87,0.27,-0.77,9.75,,arroz,Arroz - Tabela 1,R$/saca 50kg,CEPEA/ESALQ,"2025-12-31 17:15:35",2026-01-01 21:22:46.940
"2025-12-08 00:00:00",3068.91,-0.05,1.24,565.8,,bezerro,Bezerro - Tabela 1,R$/cabeça,CEPEA/ESALQ,"2025-12-31 17:15:39",2026-01-01 21:22:46.940
"2025-12-08 00:00:00",206.32,,,,,bezerro,Bezerro - Tabela 2,R$/cabeça,CEPEA/ESALQ,"2025-12-31 17:15:39",2026-01-01 21:22:46.940
"2025-12-08 00:00:00",322.1,0.0,0.16,59.04,,boi,Boi Gordo - Tabela 1,R$/@,CEPEA/ESALQ,"2025-12-31 17:15:37",2026-01-01 21:22:46.940
"2025-12-08 00:00:00",326.22,0.0,0.33,12.5,,boi,Boi Gordo - Tabela 3,R$/@,CEPEA/ESALQ,"2025-12-31 17:15:37",2026-01-01 21:22:46.940
"2025-12-08 00:00:00",2223.46,0.29,-1.31,409.93,,cafe,Café - Tabela 1,R$/saca 60kg,CEPEA/ESALQ,"2025-12-31 17:15:46",2026-01-01 21:22:46.940
"2025-12-08 00:00:00",1367.15,-0.38,-2.66,252.06,,cafe,Café - Tabela 2,R$/saca 60kg,CEPEA/ESALQ,"2025-12-31 17:15:46",2026-01-01 21:22:46.940
"2025-12-08 00:00:00",8.09,-0.12,-0.25,,,frango,Frango - Tabela 1,R$/kg,CEPEA/ESALQ,"2025-12-31 17:15:40",2026-01-01 21:22:46.940
"2025-12-08 00:00:00",8.15,-0.12,0.37,,,frango,Frango - Tabela 2,R$/kg,CEPEA/ESALQ,"2025-12-31 17:15:40",2026-01-01 21:22:46.940
"2025-12-08 00:00:00",70.15,-0.21,2.02,12.93,,milho,Milho - Tabela 1,R$/saca 60kg,CEPEA/ESALQ,"2025-12-31 17:15:32",2026-01-01 21:22:46.940
"2025-12-08 00:00:00",142.37,0.44,0.3,26.25,,soja,Soja - Tabela 1,R$/saca 60kg,CEPEA/ESALQ,"2025-12-31 17:15:30",2026-01-01 21:22:46.940
"2025-12-08 00:00:00",135.64,0.14,-0.32,25.01,,soja,Soja - Tabela 2,R$/saca 60kg,CEPEA/ESALQ,"2025-12-31 17:15:30",2026-01-01 21:22:46.940
"2025-12-08 00:00:00",12.77,0.16,0.08,,,suino,Suíno - Tabela 2,R$/kg,CEPEA/ESALQ,"2025-12-31 17:15:43",2026-01-01 21:22:46.940
"2025-12-08 00:00:00",1184.03,0.03,-0.85,218.29,,trigo,Trigo - Tabela 1,R$/tonelada,CEPEA/ESALQ,"2025-12-31 17:15:33",2026-01-01 21:22:46.940
"2025-12-08 00:00:00",1025.81,-1.56,-0.52,189.12,,trigo,Trigo - Tabela 2,R$/tonelada,CEPEA/ESALQ,"2025-12-31 17:15:33",2026-01-01 21:22:46.940
"2025-12-09 00:00:00",110.82,3.19,2.14,20.38,,acucar,Açúcar - Tabela 1,R$/saca 50kg,CEPEA/ESALQ,"2025-12-31 17:15:44",2026-01-01 21:22:46.940
"2025-12-09 00:00:00",114.57,0.37,-0.71,21.0,,acucar,Açúcar - Tabela 2,R$/saca 50kg,CEPEA/ESALQ,"2025-12-31 17:15:44",2026-01-01 21:22:46.940
"2025-12-09 00:00:00",347.47,0.2,-0.09,8.89,,algodao,Algodão - Tabela 1,c/lb,CEPEA/ESALQ,"2025-12-31 17:15:48",2026-01-01 21:22:46.940
"2025-12-09 00:00:00",52.92,0.09,-0.68,9.73,,arroz,Arroz - Tabela 1,R$/saca 50kg,CEPEA/ESALQ,"2025-12-31 17:15:35",2026-01-01 21:22:46.940
"2025-12-09 00:00:00",3067.68,-0.04,1.2,564.02,,bezerro,Bezerro - Tabela 1,R$/cabeça,CEPEA/ESALQ,"2025-12-31 17:15:39",2026-01-01 21:22:46.940
"2025-12-09 00:00:00",205.78,,,,,bezerro,Bezerro - Tabela 2,R$/cabeça,CEPEA/ESALQ,"2025-12-31 17:15:39",2026-01-01 21:22:46.940
"2025-12-09 00:00:00",322.5,0.12,0.28,59.29,,boi,Boi Gordo - Tabela 1,R$/@,CEPEA/ESALQ,"2025-12-31 17:15:37",2026-01-01 21:22:46.940
"2025-12-09 00:00:00",326.63,0.13,0.46,,,boi,Boi Gordo - Tabela 3,R$/@,CEPEA/ESALQ,"2025-12-31 17:15:37",2026-01-01 21:22:46.940
"2025-12-09 00:00:00",2241.23,0.8,-0.52,412.07,,cafe,Café - Tabela 1,R$/saca 60kg,CEPEA/ESALQ,"2025-12-31 17:15:46",2026-01-01 21:22:46.940
"2025-12-09 00:00:00",1373.92,0.5,-2.18,252.61,,cafe,Café - Tabela 2,R$/saca 60kg,CEPEA/ESALQ,"2025-12-31 17:15:46",2026-01-01 21:22:46.940
"2025-12-09 00:00:00",8.13,0.49,0.25,,,frango,Frango - Tabela 1,R$/kg,CEPEA/ESALQ,"2025-12-31 17:15:40",2026-01-01 21:22:46.940
"2025-12-09 00:00:00",8.15,0.0,0.37,,,frango,Frango - Tabela 2,R$/kg,CEPEA/ESALQ,"2025-12-31 17:15:40",2026-01-01 21:22:46.940
"2025-12-09 00:00:00",69.99,-0.23,1.79,12.87,,milho,Milho - Tabela 1,R$/saca 60kg,CEPEA/ESALQ,"2025-12-31 17:15:32",2026-01-01 21:22:46.940
"2025-12-09 00:00:00",142.19,-0.13,0.18,26.14,,soja,Soja - Tabela 1,R$/saca 60kg,CEPEA/ESALQ,"2025-12-31 17:15:30",2026-01-01 21:22:46.940
"2025-12-09 00:00:00",135.46,-0.13,-0.45,24.91,,soja,Soja - Tabela 2,R$/saca 60kg,CEPEA/ESALQ,"2025-12-31 17:15:30",2026-01-01 21:22:46.940
"2025-12-09 00:00:00",12.73,-0.31,-0.24,,,suino,Suíno - Tabela 2,R$/kg,CEPEA/ESALQ,"2025-12-31 17:15:43",2026-01-01 21:22:46.940
"2025-12-09 00:00:00",1183.48,-0.05,-0.89,217.59,,trigo,Trigo - Tabela 1,R$/tonelada,CEPEA/ESALQ,"2025-12-31 17:15:33",2026-01-01 21:22:46.940
"2025-12-09 00:00:00",1028.65,0.28,-0.25,189.12,,trigo,Trigo - Tabela 2,R$/tonelada,CEPEA/ESALQ,"2025-12-31 17:15:33",2026-01-01 21:22:46.940
"2025-12-10 00:00:00",112.9,1.88,4.06,20.61,,acucar,Açúcar - Tabela 1,R$/saca 50kg,CEPEA/ESALQ,"2025-12-31 17:15:44",2026-01-01 21:22:46.940
"2025-12-10 00:00:00",116.61,1.78,1.06,21.34,,acucar,Açúcar - Tabela 2,R$/saca 50kg,CEPEA/ESALQ,"2025-12-31 17:15:44",2026-01-01 21:22:46.940
"2025-12-10 00:00:00",346.58,-0.26,-0.35,8.89,,algodao,Algodão - Tabela 1,c/lb,CEPEA/ESALQ,"2025-12-31 17:15:48",2026-01-01 21:22:46.940
"2025-12-10 00:00:00",52.49,-0.81,-1.48,9.58,,arroz,Arroz - Tabela 1,R$/saca 50kg,CEPEA/ESALQ,"2025-12-31 17:15:35",2026-01-01 21:22:46.940
"2025-12-10 00:00:00",3065.42,-0.07,1.13,559.59,,bezerro,Bezerro - Tabela 1,R$/cabeça,CEPEA/ESALQ,"2025-12-31 17:15:39",2026-01-01 21:22:46.940
"2025-12-10 00:00:00",205.04,,,,,bezerro,Bezerro - Tabela 2,R$/cabeça,CEPEA/ESALQ,"2025-12-31 17:15:39",2026-01-01 21:22:46.940
"2025-12-10 00:00:00",320.9,-0.5,-0.22,58.58,,boi,Boi Gordo - Tabela 1,R$/@,CEPEA/ESALQ,"2025-12-31 17:15:37",2026-01-01 21:22:46.940
